Participant,adherhent_Q#,P2_rating,P1_5_Q_avg,P1_Q_#,delta
0,0_4,6,None,0,None
0,0_5,4,None,0,None
0,0_16,7,None,0,None
0,0_18,7,None,0,None
0,0_20,7,None,0,None
0,0_21,7,None,0,None
0,0_31,6,None,0,None
0,0_38,7,None,0,None
0,0_40,6,None,0,None
0,0_48,7,None,0,None
0,0_52,3,None,0,None
0,0_58,6,None,0,None
0,0_59,6,None,0,None
0,0_61,7,None,0,None
0,0_65,6,None,0,None
0,0_91,7,None,0,None
0,0_94,7,None,0,None
0,0_99,6,None,0,None
0,1_15,7,None,0,None
0,1_24,7,None,0,None
0,1_36,7,None,0,None
0,1_45,6,None,0,None
0,1_47,6,None,0,None
0,1_62,7,None,0,None
0,1_66,7,None,0,None
0,1_77,7,None,0,None
0,1_85,6,None,0,None
0,1_86,7,None,0,None
0,1_97,7,None,0,None
0,2_7,3,None,0,None
0,2_11,3,None,0,None
0,2_14,2,2.6,5,-0.6000000000000001
0,2_19,2,2.4,5,-0.3999999999999999
0,2_20,4,2.8,5,1.2000000000000002
0,2_23,6,3.4,5,2.6
0,2_24,4,2.4,5,1.6
0,2_39,6,3.6,5,2.4
0,2_40,6,3.0,5,3.0
0,2_53,4,2.8,5,1.2000000000000002
0,2_59,6,3.8,5,2.2
0,2_64,5,3.6,5,1.4
0,2_68,2,2.2,5,-0.20000000000000018
0,2_69,5,2.2,5,2.8
0,2_74,3,2.0,5,1.0
0,2_77,7,4.8,5,2.2
0,2_96,2,2.2,5,-0.20000000000000018
0,2_99,4,3.2,5,0.7999999999999998
0,4_1,2,None,0,None
0,4_2,2,None,0,None
0,4_3,2,None,0,None
0,4_4,3,None,0,None
0,4_5,3,None,0,None
0,4_6,3,None,0,None
0,4_7,2,None,0,None
0,4_8,2,None,0,None
0,4_9,2,None,0,None
0,4_10,2,None,0,None
1,0_4,4,None,0,None
1,0_5,2,None,0,None
1,0_16,6,None,0,None
1,0_18,3,None,0,None
1,0_20,4,None,0,None
1,0_21,4,None,0,None
1,0_31,6,None,0,None
1,0_38,4,None,0,None
1,0_40,3,None,0,None
1,0_48,6,5.6,5,0.40000000000000036
1,0_52,2,2.4,5,-0.3999999999999999
1,0_58,2,3.2,5,-1.2000000000000002
1,0_59,7,2.6,5,4.4
1,0_61,4,6.0,5,-2.0
1,0_65,4,4.2,5,-0.20000000000000018
1,0_91,6,3.4,5,2.6
1,0_94,6,3.2,5,2.8
1,0_99,4,3.0,5,1.0
1,1_15,7,6.0,5,1.0
1,1_24,6,4.6,5,1.4000000000000004
1,1_36,4,3.8,5,0.20000000000000018
1,1_45,4,3.2,5,0.7999999999999998
1,1_47,2,3.0,5,-1.0
1,1_62,5,5.6,5,-0.5999999999999996
1,1_66,6,None,0,None
1,1_77,7,None,0,None
1,1_85,3,None,0,None
1,1_86,6,None,0,None
1,1_97,5,None,0,None
1,2_7,2,None,0,None
1,2_11,2,None,0,None
1,2_14,2,None,0,None
1,2_19,3,None,0,None
1,2_20,3,None,0,None
1,2_23,2,None,0,None
1,2_24,2,None,0,None
1,2_39,5,None,0,None
1,2_40,6,None,0,None
1,2_53,2,None,0,None
1,2_59,5,None,0,None
1,2_64,3,None,0,None
1,2_68,2,None,0,None
1,2_69,2,None,0,None
1,2_74,2,None,0,None
1,2_77,2,None,0,None
1,2_96,2,None,0,None
1,2_99,3,None,0,None
1,4_1,2,None,0,None
1,4_2,2,None,0,None
1,4_3,2,None,0,None
1,4_4,2,None,0,None
1,4_5,2,None,0,None
1,4_6,2,None,0,None
1,4_7,2,None,0,None
