questionSetID,gen#,qIDs,meanOriginalOrder,meanAlternateOrders,status
4,0,4_1 4_2 4_3 4_4 4_5,4.714285714,4.288888889,Filtered
5,0,5_1 5_2 5_3 5_4 5_5,4.142857143,3.488888889,Adherent
16,0,16_1 16_2 16_3 16_4 16_5,5.428571429,4.644444444,Filtered
18,0,18_1 18_2 18_3 18_4 18_5,5.571428571,4.888888889,Adherent
20,0,20_1 20_2 20_3 20_4 20_5,3.428571429,4.044444444,Adherent
21,0,21_1 21_2 21_3 21_4 21_5,4.714285714,4.2,Adherent
31,0,31_1 31_2 31_3 31_4 31_5,5.142857143,4.444444444,Adherent
38,0,38_1 38_2 38_3 38_4 38_5,6.142857143,5.044444444,Filtered
39,0,39_1 39_2 39_3 39_4 39_5,4.714285714,4.533333333,Non-Adherent
40,0,40_1 40_2 40_3 40_4 40_5,4,3.977777778,Adherent
48,0,48_1 48_2 48_3 48_4 48_5,5.428571429,4.911111111,Filtered
52,0,52_1 52_2 52_3 52_4 52_5,3.285714286,3.355555556,Adherent
58,0,58_1 58_2 58_3 58_4 58_5,4.428571429,4.133333333,Adherent
59,0,59_1 59_2 59_3 59_4 59_5,4.857142857,4.422222222,Filtered
61,0,61_1 61_2 61_3 61_4 61_5,5.857142857,4.844444444,Filtered
65,0,65_1 65_2 65_3 65_4 65_5,5.428571429,4.533333333,Adherent
91,0,91_1 91_2 91_3 91_4 91_5,4.857142857,4.355555556,Filtered
94,0,94_1 94_2 94_3 94_4 94_5,5.571428571,4.577777778,Adherent
99,0,99_1 99_2 99_3 99_4 99_5,5.428571429,4.622222222,Filtered
12,1,12_1 12_2 12_3 12_4 12_5,6.714285714,5.6,Non-Adherent
15,1,15_1 15_2 15_3 15_4 15_5,6.285714286,5.355555556,Filtered
24,1,24_1 24_2 24_3 24_4 24_5,6.285714286,5.355555556,Filtered
33,1,33_1 33_2 33_3 33_4 33_5,6.285714286,5.266666667,Non-Adherent
35,1,35_1 35_2 35_3 35_4 35_5,6.428571429,5.177777778,Non-Adherent
36,1,36_1 36_2 36_3 36_4 36_5,4.857142857,4.644444444,Filtered
45,1,45_1 45_2 45_3 45_4 45_5,5.714285714,4.377777778,Adherent
47,1,47_1 47_2 47_3 47_4 47_5,5.571428571,4.355555556,Filtered
53,1,53_1 53_2 53_3 53_4 53_5,6.428571429,5.244444444,Non-Adherent
62,1,62_1 62_2 62_3 62_4 62_5,6.428571429,5.4,Filtered
64,1,64_1 64_2 64_3 64_4 64_5,6.571428571,4.933333333,Non-Adherent
66,1,66_1 66_2 66_3 66_4 66_5,6.285714286,5.2,Filtered
68,1,68_1 68_2 68_3 68_4 68_5,6.571428571,5.466666667,Non-Adherent
77,1,77_1 77_2 77_3 77_4 77_5,6.571428571,5.377777778,Filtered
85,1,85_1 85_2 85_3 85_4 85_5,4.142857143,4.911111111,Filtered
86,1,86_1 86_2 86_3 86_4 86_5,5.428571429,4.466666667,Filtered
88,1,88_1 88_2 88_3 88_4 88_5,6.571428571,5.555555556,Non-Adherent
90,1,90_1 90_2 90_3 90_4 90_5,6.142857143,5.422222222,Non-Adherent
97,1,97_1 97_2 97_3 97_4 97_5,4.714285714,4.288888889,Adherent
7,2,7_1 7_2 7_3 7_4 7_5,4.714285714,3.844444444,Adherent
11,2,11_1 11_2 11_3 11_4 11_5,2.857142857,3.311111111,Adherent
14,2,14_1 14_2 14_3 14_4 14_5,2.428571429,3.088888889,Adherent
19,2,19_1 19_2 19_3 19_4 19_5,3.142857143,3.488888889,Adherent
20,2,20_1 20_2 20_3 20_4 20_5,4,3.6,Adherent
23,2,23_1 23_2 23_3 23_4 23_5,4.142857143,3.733333333,Adherent
24,2,24_1 24_2 24_3 24_4 24_5,3.857142857,3.444444444,Adherent
39,2,39_1 39_2 39_3 39_4 39_5,4.857142857,4.044444444,Adherent
40,2,40_1 40_2 40_3 40_4 40_5,5.285714286,4.488888889,Filtered
44,2,44_1 44_2 44_3 44_4 44_5,6,5.377777778,Non-Adherent
52,2,52_1 52_2 52_3 52_4 52_5,5,4.444444444,Non-Adherent
53,2,53_1 53_2 53_3 53_4 53_5,4,3.733333333,Adherent
59,2,59_1 59_2 59_3 59_4 59_5,5.142857143,4.133333333,Adherent
64,2,64_1 64_2 64_3 64_4 64_5,5,4.244444444,Adherent
68,2,68_1 68_2 68_3 68_4 68_5,2.285714286,3.266666667,Adherent
69,2,69_1 69_2 69_3 69_4 69_5,2.571428571,3.044444444,Adherent
74,2,74_1 74_2 74_3 74_4 74_5,2.285714286,3.088888889,Adherent
77,2,77_1 77_2 77_3 77_4 77_5,3.714285714,3.755555556,Adherent
90,2,90_1 90_2 90_3 90_4 90_5,5.857142857,4.977777778,Non-Adherent
91,2,91_1 91_2 91_3 91_4 91_5,5.857142857,4.8,Non-Adherent
96,2,96_1 96_2 96_3 96_4 96_5,2.285714286,3.155555556,Adherent
99,2,99_1 99_2 99_3 99_4 99_5,4.571428571,3.711111111,Adherent
1,4,1_1 1_2 1_3 1_4 1_5,2.142857143,2.688888889,Adherent
2,4,2_1 2_2 2_3 2_4 2_5,2.857142857,2.822222222,Adherent
3,4,3_1 3_2 3_3 3_4 3_5,2,2.688888889,Adherent
